"CODE","NAME","PARENT","TYPE_PARAM","STATUS","IMAGE","PARAM_ORDER","GROUP_TYPE","LEVEL_NODE","SUB_CODE","MODIFIED_DATE","START_TIME","END_TIME","ID","DEPT_ID","PARENT_DEPT_ID","DEPT_ORDER","STANDARD_NAME","PARAM_ORDER_SMS"
ANM,VCS_CT An ninh mạng Viettel,GPCNDV,DTLV,1,,3,DTLV,,,2021-12-30 10:50:55.000,,,100674,2105,308467,,,
TH,VTM_CT Truyền thông Viettel,GPCNDV,DTLV,1,,2,DTLV,,,2021-12-30 10:50:55.000,,,100675,223,308467,,,
VNC,VHT_TCT Công nghiệp Công nghệ cao Viettel,SXTBCNC,DTLV,1,,0,DTLV,,,2021-12-30 10:52:43.000,,,100686,284,270,,,
SXTBCNC,Lĩnh vực Nghiên cứu sản xuất CN CNC,TD,DTLV,1,,3,DTLV,,,2021-12-30 10:52:43.000,,,100687,270,,,SXTBCNC,
SXTBCNC_HHL,Nhóm hết hiệu lực,SXTBCNC,DTLV,1,,4,DTLV,,,2021-12-30 10:52:43.000,,,100688,308482,270,,GPCNDV_HHL,
M3,M3_CT TNHH MTV Thông tin M3,SXTBCNC_HHL,DTLV,1,,4,DTLV,,,2021-12-30 10:52:43.000,,,100689,305960,270,,,
M1,M1_CT TNHH MTV Thông tin M1,SXTBCNC_HHL,DTLV,1,,3,DTLV,,,2021-12-30 10:52:43.000,,,100690,282,270,,,
VHK,VTX_Viện Hàng không vũ trụ Viettel,SXTBCNC,DTLV,1,,1,DTLV,,,2021-12-30 10:52:43.000,,,100691,7318,270,,,
VIT4,TT CNTT Viettel 4,GPCNDV_HHL,DTLV,1,,6,DTLV,,,2021-12-30 09:59:05.000,,,100709,7371,308468,,,
VIT3,TT CNTT Viettel 3,GPCNDV_HHL,DTLV,1,,5,DTLV,,,2021-12-30 09:59:05.000,,,100710,7370,308468,,,
VIT2,TT CNTT Viettel 2,GPCNDV_HHL,DTLV,1,,4,DTLV,,,2021-12-30 09:59:05.000,,,100711,7369,308468,,,
VIT1,TT CNTT Viettel 1,GPCNDV_HHL,DTLV,1,,3,DTLV,,,2021-12-30 09:59:05.000,,,100712,7368,308468,,,
VTS2,TTPM 2,GPCNDV_HHL,DTLV,1,,2,DTLV,,,2021-12-30 09:59:05.000,,,100713,202,308468,,,
HHL_VT,TTPM Viễn thông Viettel,GPCNDV_HHL,DTLV,1,,0,DTLV,,,2021-12-30 09:59:05.000,,,100714,308482,308468,,,
VTS1,TTPM 1,GPCNDV_HHL,DTLV,1,,1,DTLV,,,2021-12-30 09:59:05.000,,2021-10-30 09:59:05.000,100715,201,308468,,,
VTR,CT Viettel Russia,CPLTM_HHL,DTLV,1,,6,DTLV,,,2021-12-30 10:07:41.000,,,100716,8948,308483,,,
VTE,CT Viettel Europe,CPLTM_HHL,DTLV,1,,5,DTLV,,,2021-12-30 10:07:41.000,,,100717,8947,308483,,,
VTA,CT Viettel America,CPLTM_HHL,DTLV,1,,4,DTLV,,,2021-12-30 10:07:41.000,,,100718,3115,308483,,,
TKTC,TT Thiết kế toàn cầu,CPLTM_HHL,DTLV,1,,3,DTLV,,,2021-12-30 10:07:41.000,,,100719,7367,308483,,,
VHC,CT TNHH Phát triển nhà Viettel - Hancic,CPLTM_HHL,DTLV,1,,2,DTLV,,,2021-12-30 10:07:41.000,,,100720,3097,308483,,,
VVHA,CT CP Phát triển đô thị Vinaconex - Viettel,CPLTM_HHL,DTLV,1,,1,DTLV,,,2021-12-30 10:07:41.000,,,100721,3137,308483,,,
KDN,CT TNHH MTV Kinh doanh nhà Viettel,CPLTM_HHL,DTLV,1,,0,DTLV,,,2021-12-30 10:07:41.000,,,100722,308342,308483,,,
CPLTM_HHL,Nhóm hết hiệu lực,CPLTM,DTLV,1,,7,DTLV,,,2021-12-30 10:07:41.000,,,100723,308483,308480,,,
NCPTTB,TT Nghiên cứu thiết bị thông minh,SXTBCNC_HHL,DTLV,1,,2,DTLV,,,2021-12-30 10:49:23.000,,,100726,3099,308482,,,
VTT_VTS_VDS,VTT+VTS+VDS,VT,DTLV,1,,2,DTLV,,,2021-12-30 10:51:21.000,,,100662,308466,308464,,,
BC,VTPost_TCT CP Bưu chính Viettel,CPLTM,DTLV,1,,0,DTLV,,,2021-12-30 10:52:17.000,,,100692,218,308480,,,
CPLTM,"Lĩnh vực TMĐT, Logistics và Khác",TD,DTLV,1,,4,DTLV,,,2021-12-30 10:52:17.000,,,100693,308480,,,CPLTM,
BDS,VAM_CT Quản lý tài sản Viettel,CPLTM,DTLV,1,,3,DTLV,,,2021-12-30 10:52:17.000,,,100694,2104,308480,,,
XMCP,XMCP_CT CP Xi măng Cẩm Phả,CPLTM,DTLV,1,,2,DTLV,,,2021-12-30 10:52:17.000,,,100695,305980,308480,,,
XNK,VCM_CT TNHH NN MTV TM&XNK Viettel,CPLTM,DTLV,1,,1,DTLV,,,2021-12-30 10:52:17.000,,,100696,286,308480,,,
K060,KTM,TSS,DTLV,1,,34,DTLV,,,2021-11-16 23:39:53.000,,,100847,326,307143,,KTM,
L231,LCU,TSS,DTLV,1,,37,DTLV,,,2021-11-16 23:39:53.000,,,100846,304,307143,,LCU,
L063,LDG,TSS,DTLV,1,,38,DTLV,,,2021-11-16 23:39:53.000,,,100845,327,307143,,LDG,
L025,LSN,TSS,DTLV,1,,39,DTLV,,,2021-11-16 23:39:53.000,,,100844,305,307143,,LSN,
L020,LCI,TSS,DTLV,1,,36,DTLV,,,2021-11-16 23:39:53.000,,,100843,303,307143,,LCI,
L072,LAN,TSS,DTLV,1,,35,DTLV,,,2021-11-16 23:39:53.000,,,100842,349,307143,,LAN,
N350,NDH,TSS,DTLV,1,,42,DTLV,,,2021-11-16 23:39:53.000,,,100841,308,307143,,NDH,
N038,NAN,TSS,DTLV,1,,40,DTLV,,,2021-11-16 23:39:53.000,,,100840,307,307143,,NAN,
VMC,VMC_Tổng Công ty Sản xuất thiết bị Viettel,SXTBCNC,DTLV,1,,2,DTLV,,,2021-12-30 10:52:43.000,,,308522,308521,270,,,
VTTNEWNEW,VTT_TCT Viễn thông Viettel,VT,DTLV,1,,0,DTLV,4,,2021-12-30 10:51:21.000,,,100657,9001,308464,,,
VT,Lĩnh vực Viễn thông,TD,DTLV,1,,1,DTLV,3,,2021-12-30 10:51:21.000,,,100658,308464,,,VT,
VTG,VTG_TCT CP Đầu tư quốc tế Viettel,VT,DTLV,1,,6,DTLV,,,2021-12-30 10:51:21.000,,,100665,256,308464,,VTG,
TVTK,VTK_CT Tư vấn và DV Viettel,VT,DTLV,1,,5,DTLV,,,2021-12-30 10:51:21.000,,,100666,220,308464,,VTK,
VDS,VDS_TCT Dịch vụ số Viettel,GPCNDV,DTLV,1,,1,DTLV,,,2021-12-30 10:50:55.000,,,100669,9000,308467,,,
VTG_NATCOM,"Natcom_CT Natcom, S.A",VTG,DTLV,1,,4,DTLV,,,2021-12-29 12:37:26.000,,,100677,308473,256,,,
VTG_MYTEL,"Mytel_Telecom International Myanmar Co., Ltd",VTG,DTLV,1,,3,DTLV,,,2021-12-29 12:37:26.000,,,100678,308472,256,,,
VTG_TELEMOR,Telemor_CT Viettel Timor Leste,VTG,DTLV,1,,2,DTLV,,,2021-12-29 12:37:26.000,,,100679,308471,256,,,
VTG_UNITEL,Unitel_CT Star Telecom,VTG,DTLV,1,,1,DTLV,,,2021-12-29 12:37:26.000,,,100680,308470,256,,,
VTP,Bitel_CT Viettel Peru,VTG,DTLV,1,,8,DTLV,,,2021-12-30 08:36:16.000,,,100700,250,256,,Bitel,
VBD,Lumitel_CT Viettel Burundi S.A,VTG,DTLV,1,,7,DTLV,,,2021-12-30 08:36:16.000,,,100701,252,256,,,
VTZ,Halotel_CT Viettel Tanzania,VTG,DTLV,1,,6,DTLV,,,2021-12-30 08:36:16.000,,,100702,2102,256,,,
MOV,Movitel_CT Movitel,VTG,DTLV,1,,5,DTLV,,,2021-12-30 08:36:16.000,,,100703,248,256,,,
NAT,"Natcom_CT Natcom, S.A",VTG,DTLV,1,,4,DTLV,,,2021-12-30 08:36:16.000,,,100704,247,256,,,
MYN,"Mytel_Telecom International Myanmar Co., Ltd",VTG,DTLV,1,,3,DTLV,,,2021-12-30 08:36:16.000,,,100705,7985,256,,,
VTL,Telemor_CT Viettel Timor Leste,VTG,DTLV,1,,2,DTLV,,,2021-12-30 08:36:16.000,,,100706,249,256,,,
STL,Unitel_CT Star Telecom,VTG,DTLV,1,,1,DTLV,,,2021-12-30 08:36:16.000,,,100707,246,256,,,
VTC,"Metfone_CT Viettel Cambodia Pte., Ltd",VTG,DTLV,1,,0,DTLV,11,,2021-12-30 08:36:16.000,,,100708,245,256,,,
H004,HNI,TSS,DTLV,1,,1,DTLV,,,2021-11-16 23:19:26.000,,,100825,292,307143,,HNI,
A076,AGG,TSS,DTLV,1,,3,DTLV,,,2021-11-16 23:19:26.000,,,100824,332,307143,,AGG,
V064,VTU,TSS,DTLV,1,,62,DTLV,,,2021-11-16 23:19:26.000,,,100823,378,307143,,VTU,
B240,BGG,TSS,DTLV,1,,6,DTLV,,,2021-11-16 23:26:15.000,,,100828,293,307143,,BGG,
B281,BKN,TSS,DTLV,1,,7,DTLV,,,2021-11-16 23:26:15.000,,,100827,295,307143,,BKN,
B781,BLU,TSS,DTLV,1,,8,DTLV,,,2021-11-16 23:26:15.000,,,100826,344,307143,,BLU,
B241,BNH,TSS,DTLV,1,,9,DTLV,,,2021-11-16 23:50:27.000,,,100837,294,307143,,BNH,
B075,BTE,TSS,DTLV,1,,11,DTLV,,,2021-11-16 23:32:34.000,,,100836,341,307143,,BTE,
B056,BDH,TSS,DTLV,1,,5,DTLV,,,2021-11-16 23:32:34.000,,,100835,322,307143,,BDH,
B650,BDG,TSS,DTLV,1,,4,DTLV,,,2021-11-16 23:32:34.000,,,100834,361,307143,,BDG,
B651,BPC,TSS,DTLV,1,,10,DTLV,,,2021-11-16 23:32:34.000,,,100833,343,307143,,BPC,
B062,BTN,TSS,DTLV,1,,12,DTLV,,,2021-11-16 23:32:34.000,,,100832,323,307143,,BTN,
C780,CMU,TSS,DTLV,1,,14,DTLV,,,2021-11-16 23:32:34.000,,,100831,346,307143,,CMU,
C710,CTO,TSS,DTLV,1,,15,DTLV,,,2021-11-16 23:32:34.000,,,100830,364,307143,,CTO,
C026,CBG,TSS,DTLV,1,,13,DTLV,,,2021-11-16 23:32:34.000,,,100829,296,307143,,CBG,
D511,DNG,TSS,DTLV,1,,19,DTLV,,,2021-11-16 23:39:53.000,,,100864,315,307143,,DNG,
D500,DLK,TSS,DTLV,1,,18,DTLV,,,2021-11-16 23:39:53.000,,,100863,321,307143,,DLK,
D501,DCN,TSS,DTLV,1,,17,DTLV,,,2021-11-16 23:39:53.000,,,100862,330,307143,,DCN,
D230,DBN,TSS,DTLV,1,,16,DTLV,,,2021-11-16 23:39:53.000,,,100861,313,307143,,DBN,
