"ID","CODE","NAME","PARENT_ID","PARENT_CODE","DEPT_LEVEL","DEPT_LEVEL_CODE_FULL","DEPT_LEVEL_NAME_FULL","DESCRIPTION","STATUS","COUNTRY_ID","COUNTRY_CODE","COUNTRY_NAME","PROVINCE_ID","PROVINCE_CODE","PROVINCE_NAME","COMPANY_ID","COMPANY_CODE","COMPANY_NAME","UPDATE_TIME","UPDATE_USER","START_TIME","END_TIME","STANDARD_NAME"
318,Q055,Quảng Ngãi,307143,TSS,3,/TD/TSS/Q055/,/Tập đoàn/Viettel Tỉnh/TP/Quảng Ngãi/,"Quảng Ngãi là thành phố tỉnh lỵ của tỉnh Quảng Ngãi, thuộc vùng Duyên hải Nam Trung Bộ, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-12-02 13:40:00,"170635",,,QNI
322,B056,Bình Định,307143,TSS,3,/TD/TSS/B056/,/Tập đoàn/Viettel Tỉnh/TP/Bình Định/,"Bình Định là một tỉnh thuộc vùng duyên hải Nam Trung Bộ Việt Nam. Tỉnh lỵ của Bình Định là thành phố cảng Quy Nhơn nằm cách thủ đô Hà Nội 1.070 km về phía nam, cách thành phố Đà Nẵng 323 km về phía nam và cách Thành phố Hồ Chí Minh 652 km về phía bắc theo đường Quốc lộ 1.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:51:03,"170635",,,BDH
323,B062,Bình Thuận,307143,TSS,3,/TD/TSS/B062/,/Tập đoàn/Viettel Tỉnh/TP/Bình Thuận/,"Bình Thuận là một tỉnh thuộc vùng Duyên hải Nam Trung Bộ, Việt Nam. Năm 2018, Bình Thuận là đơn vị hành chính Việt Nam đông thứ 32 về số dân, xếp thứ 34 về Tổng sản phẩm trên địa bàn, xếp thứ 26 về GRDP bình quân đầu người, đứng thứ 35 về tốc độ tăng trưởng GRDP.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:51:24,"170635",,,BTN
328,N068,Ninh Thuận,307143,TSS,3,/TD/TSS/N068/,/Tập đoàn/Viettel Tỉnh/TP/Ninh Thuận/,"Ninh Thuận là một tỉnh ven biển nằm ở gần cực nam khu vực duyên hải Nam Trung Bộ, miền Trung của Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:59:04,"170635",,,NTN
335,T073,Tiền Giang,307143,TSS,3,/TD/TSS/T073/,/Tập đoàn/Viettel Tỉnh/TP/Tiền Giang/,"Tiền Giang là một tỉnh ven biển thuộc đồng bằng sông Cửu Long, miền Nam, Việt Nam. Tỉnh nằm trong Vùng kinh tế trọng điểm phía Nam. Tỉnh lỵ của tỉnh là Thành phố Mỹ Tho, nằm cách Thành phố Hồ Chí Minh 70 km về hướng Tây Nam và cách Thành phố Cần Thơ 90 km về hướng Đông Bắc theo đường Quốc lộ 1.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 13:43:17,"170635",,,TGG
9001,VTTNEWNEW,VTTNEWNEW,254,TD,2,/TD/VTTNEWNEW/,/Tập đoàn/VTTNEWNEW/,"Việt Nam, tên gọi chính thức là Cộng hòa Xã hội Chủ nghĩa Việt Nam, là một quốc gia nằm ở cực Đông của bán đảo Đông Dương thuộc khu vực Đông Nam Á, giáp với Lào, Campuchia, Trung Quốc, biển Đông và vịnh Thái Lan.",1,,,,,,,,,,2021-12-23 09:19:27,"170635",,,VTT
7367,TKTC,TT Thiết kế toàn cầu,254,TD,2,/TD/DVK/TKTC/,/Tập đoàn/TT Thiết kế toàn cầu/,,1,281,VN,Việt Nam,,,,,,,,,,,TT Thiết kế toàn cầu
7368,VIT1,Trung tâm công nghệ thông tin 1,254,TD,2,/TD/CNTT/VIT1/,/Tập đoàn/Trung tâm công nghệ thông tin 1/,,1,281,VN,Việt Nam,,,,,,,,,,,Trung tâm công nghệ thông tin 1
7369,VIT2,Trung tâm công nghệ thông tin 2,254,TD,2,/TD/CNTT/VIT2/,/Tập đoàn/Trung tâm công nghệ thông tin 2/,,1,281,VN,Việt Nam,,,,,,,,,,,Trung tâm công nghệ thông tin 2
7370,VIT3,Trung tâm công nghệ thông tin 3,254,TD,2,/TD/CNTT/VIT3/,/Tập đoàn/Trung tâm công nghệ thông tin 3/,,1,281,VN,Việt Nam,,,,,,,,,,,Trung tâm công nghệ thông tin 3
7371,VIT4,Trung tâm công nghệ thông tin 4,254,TD,2,/TD/CNTT/VIT4/,/Tập đoàn/Trung tâm công nghệ thông tin 4/,,1,281,VN,Việt Nam,,,,,,,,,,,Trung tâm công nghệ thông tin 4
3095,PMVT,Trung tâm phần mềm Viễn thông(Hết hiệu lực),254,TD,2,/TD/CNTT/PMVT/,/Tập đoàn/Trung tâm phần mềm Viễn thông(Hết hiệu lực)/,,1,281,VN,Việt Nam,,,,,,,,,,,Trung tâm phần mềm Viễn thông(Hết hiệu lực)
3096,QLDA,Ban QLDA,254,TD,2,/TD/KTM/QLDA/,/Tập đoàn/Ban QLDA/,,1,281,VN,Việt Nam,,,,,,,,,,,Ban QLDA
3097,VHC,Viettel Hacic,254,TD,2,/TD/DVK/VHC/,/Tập đoàn/Viettel Hacic/,,1,281,VN,Việt Nam,,,,,,,,,,,Viettel Hacic
3099,NCPTTB,TT NCPT thiết bị thông minh,254,TD,2,/TD/SXTB/NCPTTB/,/Tập đoàn/TT NCPT thiết bị thông minh/,,1,281,VN,Việt Nam,,,,,,,,,,,TT NCPT thiết bị thông minh
3114,VPTD,Văn Phòng Tập Đoàn,254,TD,2,/TD/VPTD/,/Tập đoàn/Văn Phòng Tập Đoàn/,,1,,,,,,,,,,2021-07-16 14:43:15,"170635",,,Văn Phòng Tập Đoàn
3115,VTA,Viettel America,254,DVK,2,/TD/DVK/VTA/,/Tập đoàn/Viettel America/,,1,281,VN,Việt Nam,,,,,,,,,,,VTA
3137,VVHA,VVHA (Viettel Vinaconex),254,TD,2,/TD/DVK/VVHA/,/Tập đoàn/VVHA (Viettel Vinaconex)/,,1,281,VN,Việt Nam,,,,,,,,,,,VVHA (Viettel Vinaconex)
2104,BDS,Bất động sản,254,TD,2,/TD/BDS/,/Tập đoàn/Bất động sản/,,1,,,,,,,,,,2021-08-25 14:31:15,"170635",,,VAM
2105,ANM,Trung tâm An ninh mạng,254,TD,2,/TD/ANM/,/Tập đoàn/Trung tâm An ninh mạng/,,1,,,,,,,,,,2021-08-25 14:26:51,"170635",,,VCS
2106,KGM,Trung tâm Không gian mạng,254,TD,2,/TD/KGM/,/Tập đoàn/Trung tâm Không gian mạng/,,1,,,,,,,,,,2021-08-25 14:27:37,"170635",,,VTCC
2108,TTTT,Trung tâm thể thao,254,TD,2,/TD/TTTT/,/Tập đoàn/Trung tâm thể thao/,,1,,,,,,,,,,2021-08-25 14:32:07,"170635",,,VTSport
2109,TTDL,Trung tâm Đo lường Viettel,254,TD,2,/TD/CNTT/TTDL/,/Tập đoàn/Trung tâm Đo lường Viettel/,,1,281,VN,Việt Nam,,,,,,,,,,,Trung tâm Đo lường Viettel
1709,VTEK,TT  Nghiên cứu công nghệ mạng Viettel,254,TD,2,/TD/SXTB/VTEK/,/Tập đoàn/TT  Nghiên cứu công nghệ mạng Viettel/,,1,281,VN,Việt Nam,,,,,,,,,,,TT  Nghiên cứu công nghệ mạng Viettel
8947,VTE,Viettel Europe,254,DVK,2,/TD/DVK/VTE/,/Tập đoàn/Viettel Europe/,,1,281,VN,Việt Nam,,,,,,,,,,,VTE
8948,VTR,Viettel Russia,254,DVK,2,/TD/DVK/VTR/,/Tập đoàn/Viettel Russia/,,1,281,VN,Việt Nam,,,,,,,,,,,VTR
7920,VTH,TT Kinh doanh sản phẩm công nghệ cao Viettel,254,TD,2,/TD/SXTB/VTH/,/Tập đoàn/TT Kinh doanh sản phẩm công nghệ cao Viettel/,,1,281,VN,Việt Nam,,,,,,,,,,,TT Kinh doanh sản phẩm công nghệ cao Viettel
8986,VTTNEW,VTTNEW,254,TD,2,/TD/TN/VTTNEW/,/Tập đoàn/VTTNEW/,,1,281,VN,Việt Nam,,,,,,,,,,,VTTNEW
8987,VTS,VTS,254,TN,2,/TD/TN/VTS/,/Tập đoàn/VTS/,,1,281,VN,Việt Nam,,,,,,,,,,,VTS
865,V070002,Long Hồ,379,V070,4,/TD/VTT/V070/V070002/,/TD/VTT/Vĩnh Long/Long Hồ/,,1,281,VN,Việt Nam,865,,,,,,,,,,Long Hồ
864,V070001,Thành Phố Vĩnh Long,379,V070,4,/TD/VTT/V070/V070001/,/TD/VTT/Vĩnh Long/Thành Phố Vĩnh Long/,,1,281,VN,Việt Nam,864,,,,,,,,,,Thành Phố Vĩnh Long
421,V070008,Bình Tân,379,V070,4,/TD/VTT/V070/V070008/,/TD/VTT/Vĩnh Long/Bình Tân/,,1,281,VN,Việt Nam,421,,,,,,,,,,Bình Tân
396,V070014,Long An,379,V070,4,/TD/VTT/V070/V070014/,/TD/VTT/Vĩnh Long/Long An/,,1,281,VN,Việt Nam,396,,,,,,,,,,Long An
20008,B651DN1,Bán hàng AM Viettel Bình Phước,343,B651,4,/TD/VTT/B651/B651DN1/,/TD/VTT/Bình Phước/Bán hàng AM Viettel Bình Phước/,,1,281,VN,Việt Nam,20008,,,,,,,,,,Bán hàng AM Viettel Bình Phước
16008,B651TLS1,TLS Bình Phước,343,B651,4,/TD/VTT/B651/B651TLS1/,/TD/VTT/Bình Phước/TLS Bình Phước/,,1,281,VN,Việt Nam,16008,,,,,,,,,,TLS Bình Phước
288741,B651011,Phú Riềng,343,B651,4,/TD/VTT/B651/B651011/,/TD/VTT/Bình Phước/Phú Riềng/,,1,281,VN,Việt Nam,288741,,,,,,,,,,Phú Riềng
684,B651003,Phước Long,343,B651,4,/TD/VTT/B651/B651003/,/TD/VTT/Bình Phước/Phước Long/,,1,281,VN,Việt Nam,684,,,,,,,,,,Phước Long
687,B651006,Bình Long,343,B651,4,/TD/VTT/B651/B651006/,/TD/VTT/Bình Phước/Bình Long/,,1,281,VN,Việt Nam,687,,,,,,,,,,Bình Long
14250,B651010,Bù Gia Mập,343,B651,4,/TD/VTT/B651/B651010/,/TD/VTT/Bình Phước/Bù Gia Mập/,,1,281,VN,Việt Nam,14250,,,,,,,,,,Bù Gia Mập
